,code,name,lat,lng,u_s,u_r,return_perc
670,407,3425 Erie Blvd,43.05,-76.07,61776.0,714.0,1.16
671,390,2800 Scottsville Road,36.95,-86.42,106243.0,1235.0,1.16
672,568,2210 N. Rock Road,37.72,-97.24,49355.0,572.0,1.16
673,60,1701 Chestnut Street,39.95,-75.17,138087.0,1600.0,1.16
674,253,3120 Peoples Street,36.35,-82.4,129546.0,1484.0,1.15
675,517,1600 Woodbury Ave,43.09,-70.79,48127.0,555.0,1.15
676,619,5946 East State Street,42.27,-89.0,101657.0,1164.0,1.15
677,1029,2612 SW CEDAR HILLS BOULEVARD,45.5,-122.81,67231.0,770.0,1.15
678,363,1514 Northern Blvd,40.79,-73.69,6331.0,73.0,1.15
679,321,2002 Southgate Road,38.8,-104.82,59697.0,684.0,1.15
680,476,383 W Army Trail Road,41.94,-88.11,86951.0,1001.0,1.15
681,535,1511 EAST VERNON AVENUE,40.5,-88.95,95202.0,1087.0,1.14
682,721,661 West 181st Street,40.85,-73.94,77959.0,891.0,1.14
683,180,3539 Grand Oaks,33.82,-117.51,90629.0,1031.0,1.14
684,484,2423 Katy Freeway,29.78,-95.39,115644.0,1323.0,1.14
685,469,5 East Kemper Rd,39.29,-84.47,94932.0,1085.0,1.14
686,524,1735-A TRANCAS STREET,38.32,-122.31,72161.0,814.0,1.13
687,6403,9101 21ST STREET,0.0,0.0,13585.0,153.0,1.13
688,656,17143 MERCANTILE BLVD,40.04,-85.99,38496.0,434.0,1.13
689,644,167 GATEWAY DR,32.93,-83.71,66213.0,747.0,1.13
690,646,4207 W. 41ST STREET,43.51,-96.78,35225.0,394.0,1.12
691,807,6400 RIDGE ROAD,39.4,-76.93,47249.0,530.0,1.12
692,1,139 E. 57th Street,40.76,-73.97,116173.0,1302.0,1.12
693,444,2590 David H. McLeod Blvd,34.19,-79.83,86926.0,976.0,1.12
694,557,7929 ABERCORN STREET,32.0,-81.12,87535.0,981.0,1.12
695,561,5270 ELMORE AVE,41.57,-90.53,61252.0,689.0,1.12
696,866,,0.0,0.0,61812.0,693.0,1.12
697,497,7508 Mall Road,39.0,-84.65,107092.0,1199.0,1.12
