code,name,lat,lng,art,concert,dance,film,theater,other
05M133,P.S. 133 Fred R Moore,40.809859,-73.939243,1,0,5,1,0,0
05M154,P.S. 154 Harriet Tubman,40.810634,-73.948749,0,0,1,0,0,1
05M157,The Urban Assembly School for Global Commerce,40.807063,-73.938829,1,0,0,0,0,0
05M175,P.S. 175 Henry H Garnet,40.81401,-73.942136,1,2,0,5,1,0
05M194,P.S. 194 Countee Cullen,40.821234,-73.94062,1,1,2,0,2,0
05M197,P.S. 197 John B. Russwurm,40.81335,-73.937773,5,25,2,0,10,0
05M200,P.S. 200- The James Mccune Smith School,40.823733,-73.935707,2,0,2,0,2,0
05M318,Thurgood Marshall Academy Lower School,40.825948,-73.937762,2,0,1,8,0,0
05M499,Frederick Douglass Academy,40.824398,-73.936545,2,6,3,30,4,0
05M517,Teachers College Community School,40.812517,-73.95354,0,6,0,0,2,0
05M670,Thurgood Marshall Academy for Learning and Social Change,40.815297,-73.944304,0,1,0,0,1,0
05M692,"High School for Mathematics, Science and Engineering at City College",40.821474,-73.949039,2,1,3,0,0,1
06M103,Dos Puentes Elementary School,40.850574,-73.933933,2,2,2,0,1,0
06M132,P.S. 132 Juan Pablo Duarte,40.850574,-73.933933,4,2,0,20,0,0
06M153,P.S. 153 Adam Clayton Powell,40.826667,-73.947647,4,8,5,0,4,0
06M178,Professor Juan Bosch Public School,40.859348,-73.928276,0,0,0,0,0,1
06M187,P.S./I.S. 187 Hudson Cliffs,40.856148,-73.937206,6,10,0,3,2,0
06M189,P.S. 189,40.853106,-73.927945,1,4,9,1,2,0
06M319,M.S. 319 - Maria Teresa,40.839456,-73.935707,2,0,0,0,2,0
06M324,M.S. 324 - Patria Mirabal,40.839456,-73.935707,4,0,0,1,0,0
06M349,Harbor Heights,40.845562,-73.94008,1,0,0,0,2,0
06M368,Hamilton Heights School,40.826667,-73.947647,3,0,5,0,0,0
06M528,I.S. 528 Bea Fuller Rodgers School,40.850671,-73.93465,2,0,0,1,0,0
07X001,P.S. 001 Courtlandt School,40.819047,-73.919603,3,3,4,0,3,0
07X031,P.S./M.S. 031 The William Lloyd Garrison,40.823283,-73.923899,1,1,0,0,1,0
07X043,P.S. 043 Jonas Bronck,40.806303,-73.921492,1,2,2,0,0,0
07X151,J.H.S. 151 Lou Gehrig,40.823283,-73.923899,3,0,1,0,0,0
07X154,P.S. 154 Jonathan D. Hyatt,40.808244,-73.925741,4,1,2,0,0,0
07X224,P.S./I.S. 224,40.810197,-73.918622,1,1,1,0,0,0
07X334,International Community High School,40.810197,-73.918622,2,0,2,4,4,0
07X343,Academy of Applied Mathematics and Technology,40.810197,-73.918622,2,2,2,1,2,0
07X381,Bronx Haven High School,40.8185,-73.91954,1,0,0,0,0,0
07X522,Bronx Design and Construction Academy,40.8185,-73.91954,0,0,0,0,0,2
07X551,The Urban Assembly Bronx Academy of Letters,40.813666,-73.925921,2,3,8,30,7,6
07X600,Alfred E. Smith Career and Technical Education High School,40.8185,-73.91954,1,0,1,0,0,0
08X014,P.S. X014 Senator John Calandra,40.835535,-73.825861,0,8,1,10,1,0
08X036,P.S. 036 Unionport,40.829446,-73.849749,3,7,1,1,3,0
08X048,P.S. 048 Joseph R. Drake,40.814228,-73.886889,2,2,0,0,0,0
08X071,P.S. 071 Rose E. Scala,40.845595,-73.829638,1,2,3,0,3,0
08X072,P.S. 072 Dr. William Dorney,40.823095,-73.818334,0,0,2,0,3,0
08X093,P.S. 093 Albert G. Oliver,40.822513,-73.877255,1,0,0,0,0,0
08X101,M.S. X101 Edward R. Byrne,40.827175,-73.829317,0,0,0,0,0,0
08X107,P.S. 107,40.818781,-73.868475,4,10,10,6,0,0
08X119,The Dr. Emmett W. Bassett School,40.828567,-73.856869,2,3,1,2,2,0
08X123,J.H.S. 123 James M. Kieran,40.824989,-73.873905,0,0,0,1,1,0
08X125,J.H.S. 125 Henry Hudson,40.829155,-73.857281,0,0,1,0,0,0
08X138,P.S. 138 Samuel Randall,40.822326,-73.852474,1,0,0,1,1,0
08X152,P.S. 152 Evergreen,40.824165,-73.880406,1,1,0,0,0,0
08X293,Renaissance High School for Musical Theater & Technology,40.840106,-73.839336,1,4,1,20,4,0
08X304,P.S. 304 Early Childhood School,40.827175,-73.829317,1,4,4,2,2,0
08X305,Pablo Neruda Academy,40.8214,-73.855687,1,0,2,0,0,0
08X312,Millennium Art Academy,40.8214,-73.855687,2,0,2,0,0,0
08X320,Pelham Lab High School,40.840106,-73.839336,1,1,1,1,0,0
08X337,The School for Inquiry and Social Justice,40.824989,-73.873905,4,4,0,0,0,0
08X348,Schuylerville Preparatory High School,40.840106,-73.839336,0,0,0,0,0,0
08X349,Bronx River High School,40.840106,-73.839336,0,0,4,0,0,0
08X376,Antonia Pantoja Preparatory Academy: A College Board School,40.8214,-73.855687,0,2,2,0,1,0
08X377,Bronx Community High School,40.8214,-73.855687,1,0,2,1,0,0
08X405,Herbert H. Lehman High School,40.840106,-73.839336,1,2,2,0,0,0
08X432,Bronx Bridges High School,40.8214,-73.855687,2,0,0,0,2,0
08X452,Gotham Collaborative High School,40.8214,-73.855687,4,1,3,1,4,0
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",40.821097,-73.881127,0,0,0,0,0,0
08X537,Bronx Arena High School,40.821097,-73.881127,2,0,0,0,0,0
08X558,Westchester Square Academy,40.840106,-73.839336,0,0,1,0,0,0
08X561,Bronx Compass High School,40.8214,-73.855687,2,2,2,0,2,0
08X562,Blueprint Middle School,40.829155,-73.857281,1,0,0,2,0,0
09X004,P.S./M.S. 004 Crotona Park West,40.84117,-73.89828,0,1,4,0,1,0
09X011,P.S. 011 Highbridge,40.839738,-73.925787,6,2,0,0,4,0
09X022,J.H.S. 022 Jordan L. Mott,40.83245,-73.913939,2,5,5,0,2,0
09X028,P.S. 028 Mount Hope,40.848353,-73.90374,0,0,0,0,0,0
09X035,P.S. 035 Franz Siegel,40.827559,-73.917933,1,0,1,0,0,0
09X042,P.S. 042 Claremont,40.838559,-73.903026,2,2,2,0,3,0
09X063,P.S. 063 Author's Academy,40.830895,-73.902386,2,2,0,0,0,0
09X070,P.S. 070 Max Schoenfeld,40.84396,-73.908047,1,1,16,0,0,0
09X073,P.S. 073 Bronx,40.832659,-73.926603,1,3,0,0,0,0
09X088,P.S. X088 - S. Silverstein Little Sparrow School,40.837026,-73.913524,0,2,0,0,0,0
09X109,P.S. 109 Sedgwick,40.851788,-73.918621,1,0,0,0,3,0
09X114,P.S. X114 - Luis Llorens Torres Schools,40.834946,-73.923261,2,3,2,0,2,0
09X117,I.S. 117 Joseph H. Wade,40.84858,-73.908745,2,0,3,0,0,0
09X126,P.S. 126 Dr Marjorie H Dunbar,40.836067,-73.928385,1,2,2,0,0,0
09X132,P.S. 132 Garret A. Morgan,40.832097,-73.907048,0,0,3,30,3,0
09X163,P.S. 163 Arthur A. Schomburg,40.851801,-73.898826,0,0,0,0,0,0
09X170,P.S. 170,40.844524,-73.913275,1,10,8,0,2,0
09X199,P.S. 199X - The Shakespeare School,40.84366,-73.920597,3,3,4,0,10,3
09X204,P.S. 204 Morris Heights,40.850084,-73.915131,25,0,1,0,5,0
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,40.835483,-73.919724,2,2,4,0,2,0
09X227,Bronx Collegiate Academy,40.839867,-73.911159,2,0,1,2,1,0
09X229,I.S. 229 Roland Patterson,40.853105,-73.920704,1,0,0,0,2,0
09X236,P.S. 236 Langston Hughes,40.848971,-73.909758,2,7,4,0,2,0
09X241,"Urban Assembly School for Applied Math and Science, The",40.839401,-73.901966,1,0,2,4,1,0
09X250,Eximius College Preparatory Academy: A College Board School,40.833972,-73.902747,3,0,5,0,2,0
09X252,Mott Hall Bronx High School,40.839401,-73.901966,2,0,6,0,0,0
09X260,Bronx Center for Science and Mathematics,40.833972,-73.902747,0,0,0,0,3,0
09X263,Validus Preparatory Academy,40.839401,-73.901966,1,1,1,0,0,0
09X276,Leadership Institute,40.84117,-73.89828,2,3,1,1,0,0
09X294,The Walton Avenue School,40.840345,-73.915728,2,2,2,0,0,0
09X297,Morris Academy for Collaborative Studies,40.827303,-73.90451,1,1,0,3,2,2
09X303,I.S. X303 Leadership & Community Service,40.849492,-73.915696,2,0,2,4,0,1
09X323,Bronx Writing Academy,40.83245,-73.913939,1,0,1,0,3,0
09X324,Bronx Early College Academy for Teaching & Learning,40.828078,-73.91752,3,2,2,2,6,0
09X327,Comprehensive Model School Project M.S. 327,40.842999,-73.916234,1,0,2,0,1,0
09X329,DreamYard Preparatory School,40.839867,-73.911159,5,5,5,1,3,0
09X350,New Directions Secondary School,40.839867,-73.911159,3,2,2,0,0,0
09X361,The Highbridge Green School,40.838048,-73.927991,0,3,3,3,2,0
09X365,Academy for Language and Technology,40.849492,-73.915696,0,0,2,2,0,2
09X403,Bronx International High School,40.827303,-73.90451,2,1,2,1,0,0
09X404,School for Excellence,40.827303,-73.90451,2,0,0,0,1,0
09X412,Bronx High School of Business,40.839867,-73.911159,2,0,0,0,0,0
09X413,Bronx High School for Medical Science,40.839867,-73.911159,1,0,0,0,1,0
09X443,The Family School,40.832131,-73.917566,1,1,0,0,0,0
09X449,Grant Avenue Elementary School,40.828078,-73.91752,0,9,5,0,1,0
